(1, [10], 38.148233127594) 
(1, [20], 21.29412784576416) 
(1, [30], 17.912353658676146) 
(1, [40], 20.251454019546507) 
(1, [50], 17.485942316055297) 
(1, [60], 16.89060378074646) 
(1, [70], 17.22658953666687) 
(1, [80], 14.417069673538208) 
(1, [90], 17.150816011428834) 
(1, [100], 15.598459482192993) 
(1, [110], 14.400197315216065) 
(1, [120], 14.803964710235595) 
(1, [130], 17.261459875106812) 
(1, [140], 13.91900987625122) 
(1, [150], 15.111262607574464) 
(1, [160], 14.41745467185974) 
(1, [170], 13.756173658370972) 
(1, [180], 18.113839960098268) 
(1, [190], 16.468463134765624) 
(1, [200], 18.490755891799928) 
(1, [210], 20.046250820159912) 
(1, [220], 20.629150199890137) 
(1, [230], 24.37361035346985) 
(1, [240], 23.085933017730714) 
(1, [250], 20.992517137527464) 
(1, [260], 23.10177116394043) 
(1, [270], 25.31875615119934) 
(1, [280], 28.656111431121825) 
(1, [290], 27.448139095306395) 
(1, [300], 29.672314071655272) 
(1, [310], 30.45187678337097) 
(1, [320], 28.530102586746217) 
(1, [330], 35.54373722076416) 
(1, [340], 27.07805504798889) 
(1, [350], 30.448984003067018) 
(1, [360], 33.01124978065491) 
(1, [370], 29.459069061279298) 
(1, [380], 35.78702630996704) 
(1, [390], 40.07371788024902) 
(1, [400], 32.22679243087769) 
(1, [410], 34.82261528968811) 
(1, [420], 34.87298293113709) 
(1, [430], 38.4516845703125) 
(1, [440], 39.42744431495667) 
(1, [450], 34.732398986816406) 
(1, [460], 30.231159448623657) 
(1, [470], 40.18696069717407) 
(1, [480], 31.47148280143738) 
(1, [490], 37.94924726486206) 
(1, [500], 37.7082221031189) 
(1, [510], 32.308428621292116) 
(1, [520], 37.30257477760315) 
(1, [530], 36.11213502883911) 
(1, [540], 44.47626280784607) 
(1, [550], 42.317687559127805) 
(1, [560], 37.22571983337402) 
(1, [570], 46.40046625137329) 
(1, [580], 40.43678970336914) 
(1, [590], 35.19868006706238) 
(1, [600], 36.430421876907346) 
(1, [610], 34.71299924850464) 
(1, [620], 43.90958204269409) 
(1, [630], 38.990935516357425) 
(1, [640], 34.85825066566467) 
(1, [650], 42.20836057662964) 
(1, [660], 46.26618628501892) 
(1, [670], 44.319906282424924) 
(1, [680], 48.28848857879639) 
(1, [690], 41.411701679229736) 
(1, [700], 44.41986780166626) 
(1, [710], 36.252528476715085) 
(1, [720], 42.573984670639035) 
(1, [730], 42.51224274635315) 
(1, [740], 45.85353841781616) 
(1, [750], 44.344199895858765) 
(1, [760], 45.00301542282104) 
(1, [770], 50.41254849433899) 
(1, [780], 45.718297290802) 
(1, [790], 50.91053500175476) 
(1, [800], 49.37051649093628) 
(1, [810], 46.32556104660034) 
(1, [820], 48.29967918395996) 
(1, [830], 44.026611137390134) 
(1, [840], 56.1897050857544) 
(1, [850], 59.996464014053345) 
(1, [860], 62.83971471786499) 
(1, [870], 41.105899477005) 
(1, [880], 56.78190121650696) 
(1, [890], 62.549462985992434) 
(1, [900], 47.10528297424317) 
(1, [910], 55.21081223487854) 
(1, [920], 61.021643257141115) 
(1, [930], 58.79184637069702) 
(1, [940], 60.32655515670776) 
(1, [950], 61.93051867485046) 
(1, [960], 64.37774357795715) 
(1, [970], 64.48301649093628) 
(1, [980], 60.47740778923035) 
(1, [990], 65.76443681716918) 
